id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
11,Plavinas hpp plavinas hpp plavinas latvia,Hydro,Reservoir,Store,Latvia,884.0,,52.40950226244344,510.0,58.0,46330.0,1968.0,1991.0,,,56.583,25.2394,[nan],"{'JRC': ['H25'], 'ENTSOE': ['43W-PLAV-HPP---J'], 'GEO': ['GEO42156'], 'CARMA': ['CARMA34922']}"
12,Pocinho pocinho pocinho,Hydro,Run-Of-River,Store,Portugal,186.0,,0.0,0.0,0.0,0.0,1982.0,1982.0,,,41.1343,-7.1141,[nan],"{'JRC': ['H263'], 'ENTSOE': ['16WPOCINHO-----S'], 'GEO': ['GEO43536'], 'CARMA': ['CARMA35024']}"
13,Porabka porabka porabka,Hydro,Pumped Storage,Store,Poland,551.0,,3.629764065335753,0.0,440.0,2000.0,1953.0,1998.0,,,49.7888983,19.206831550000004,"[nan, nan]","{'JRC': ['H1649', 'H50'], 'ENTSOE': ['19W000000000247X'], 'GEO': ['GEO42472', 'GEO42466'], 'CARMA': ['CARMA35310', 'CARMA35311']}"
14,Porjus porjus porjus,Hydro,Reservoir,Store,Sweden,455.0,,0.0,600.0,60.0,0.0,1915.0,1982.0,,,66.95428100000001,19.796076,[nan],"{'JRC': ['H68'], 'ENTSOE': ['46WPU0000000028N'], 'GEO': ['GEO42910'], 'CARMA': ['CARMA35333']}"
15,Porsi porsi porsi,Hydro,Reservoir,Store,Sweden,274.0,,0.0,0.0,0.0,0.0,1964.0,1987.0,,,66.428961,20.653796,[nan],"{'JRC': ['H175'], 'ENTSOE': ['46WPU0000000036O'], 'GEO': ['GEO46241'], 'CARMA': ['CARMA35341']}"
16,Cheportiledefier pfieri ca iron gate romania,Hydro,Reservoir,Store,Romania,1165.8000000000004,,0.0,2100.0,60.0,0.0,1972.0,1999.0,,,44.673,22.531999999999996,[nan],"{'JRC': ['H8'], 'ENTSOE': ['30W-CHE-PDF2---5', '30W-CHE-PDF1---A'], 'GEO': ['GEO40975'], 'CARMA': ['CARMA35441']}"
17,Pouget pouget pouget le,Hydro,Reservoir,Store,France,445.0,,1.5730337078651686,10.9,461.2,700.0,1951.0,,,,43.656040000000004,3.4017800000000005,[nan],"{'JRC': ['H73'], 'ENTSOE': ['17W100P100P0290A'], 'GEO': ['GEO39723'], 'CARMA': ['CARMA35556', 'CARMA24759']}"
18,Pournari,Hydro,Reservoir,Store,Greece,334.0,,149.7005988023952,730.0,87.0,50000.0,1981.0,1981.0,,,39.1845,21.0255,[nan],"{'JRC': ['H124'], 'ENTSOE': ['29WYISPOURNARI-P', '29WYISPOURNARIIO'], 'GEO': ['GEO42799'], 'CARMA': ['CARMA35560']}"
19,Pragneres,Hydro,Reservoir,Store,France,189.2,,0.0,63.0,101.0,0.0,1953.0,,,,42.8211,0.010329999999999999,[nan],"{'JRC': ['H257'], 'ENTSOE': ['17W100P100P02918'], 'GEO': ['GEO39776'], 'CARMA': ['CARMA35658']}"
20,Presenzano presenzan presenzano domenico cimarosa italy,Hydro,Pumped Storage,Store,Italy,1005.0,,15.0,6.0,495.0,15075.0,1991.0,1991.0,,,41.380906,14.091460000000001,[nan],"{'JRC': ['H14'], 'ENTSOE': ['26WIMPI-S15PRSN8'], 'GEO': ['GEO45430'], 'CARMA': ['CARMA35733']}"
21,Oraison oraison oraison,Hydro,Reservoir,Store,France,187.0,,0.0,15.7,29.0,0.0,1962.0,,,,43.921009999999995,5.92438,[nan],"{'JRC': ['H260'], 'ENTSOE': ['17W100P100P0288Y'], 'GEO': ['GEO39706'], 'CARMA': ['CARMA32690']}"
22,Nämforsen namforsen namforsen,Hydro,Reservoir,Store,Sweden,113.0,,0.0,0.0,22.0,0.0,1946.0,1973.0,,,64.0448895,17.692220499999898,[nan],"{'JRC': ['H489'], 'ENTSOE': ['46WPU0000000046L'], 'GEO': ['GEO46250'], 'CARMA': ['CARMA30345']}"
23,Revin revin revin pump,Hydro,Pumped Storage,Store,France,808.0,,5.573019801980198,8.7,233.0,4503.0,1976.0,1974.0,,,49.92556,4.61331,[nan],"{'JRC': ['H29'], 'ENTSOE': ['17W100P100P02780'], 'GEO': ['GEO39715', 'GEO45157'], 'CARMA': ['CARMA37152']}"
24,Montezic montezic montezic pump,Hydro,Pumped Storage,Store,France,910.0,,40.0,34.0,423.0,36400.0,1982.0,1983.0,,,44.73766,2.64342,[nan],"{'JRC': ['H20'], 'ENTSOE': ['17W100P100P02772'], 'GEO': ['GEO42240'], 'CARMA': ['CARMA29248']}"
