set_key,dataset,gt_set,mod_time,truth_status,names
46WPU0000000059C | 46WPU0000000061P,ENTSOE,"{'46WPU0000000059C', '46WPU0000000061P'}",1/12/2021 10:46,P,
47W000000000168B | 47W000000000355C | 47W000000000356A,ENTSOE,"{'47W000000000356A', '47W000000000355C', '47W000000000168B'}",1/12/2021 10:46,P,
48WSTN0000GRAINU | 48WSTN000GRAI-GD,ENTSOE,"{'48WSTN000GRAI-GD', '48WSTN0000GRAINU'}",1/12/2021 10:46,P,
48WSTN0000HEYM1P | 48WSTN0000HEYM2N,ENTSOE,"{'48WSTN0000HEYM2N', '48WSTN0000HEYM1P'}",1/12/2021 10:46,P,
48WSTN000LITT-DA | 48WSTN000LITT-G4,ENTSOE,"{'48WSTN000LITT-G4', '48WSTN000LITT-DA'}",1/12/2021 10:46,P,
49W0000000000512 | 49W000000000117Z,ENTSOE,"{'49W0000000000512', '49W000000000117Z'}",1/12/2021 10:46,P,
49W000000000080W | 49W000000000082S | 49W000000000084O | 49W000000000086K | 49W000000000088G,ENTSOE,"{'49W000000000080W', '49W000000000088G', '49W000000000082S', '49W000000000086K', '49W000000000084O'}",1/12/2021 10:46,P,
49W000000000092P | 49W000000000094L,ENTSOE,"{'49W000000000094L', '49W000000000092P'}",1/12/2021 10:46,P,
49W000000000100F | 49W000000000101D | 49W000000000102B,ENTSOE,"{'49W000000000100F', '49W000000000102B', '49W000000000101D'}",1/12/2021 10:46,P,
50WP00000000020T | 50WP00000000022P | 50WP00000000023N,ENTSOE,"{'50WP00000000020T', '50WP00000000022P', '50WP00000000023N'}",1/12/2021 10:46,P,
50WP000000000592 | 50WP00000000063B,ENTSOE,"{'50WP000000000592', '50WP00000000063B'}",1/12/2021 10:46,P,
50WP00000000650X | 50WP00000000651V,ENTSOE,"{'50WP00000000650X', '50WP00000000651V'}",1/12/2021 10:46,P,
50WP00000000684G | 50WP00000000685E,ENTSOE,"{'50WP00000000684G', '50WP00000000685E'}",1/12/2021 10:46,P,
BNA0015 | BNA0016 | BNA0017 | BNA0018,OPSD_DE,"{'BNA0018', 'BNA0015', 'BNA0017', 'BNA0016'}",1/12/2021 10:46,P,
BNA0019 | BNA0020,OPSD_DE,"{'BNA0019', 'BNA0020'}",1/12/2021 10:46,P,
BNA0045 | BNA0046,OPSD_DE,"{'BNA0045', 'BNA0046'}",1/12/2021 10:46,P,
BNA0082 | BNA0086 | BNA0087,OPSD_DE,"{'BNA0087', 'BNA0086', 'BNA0082'}",1/12/2021 10:46,P,
BNA0098 | BNA0101,OPSD_DE,"{'BNA0098', 'BNA0101'}",1/12/2021 10:46,P,
BNA0115 | BNA0116,OPSD_DE,"{'BNA0116', 'BNA0115'}",1/12/2021 10:46,P,
BNA0122 | BNA0123 | BNA0124 | BNA1404,OPSD_DE,"{'BNA0123', 'BNA1404', 'BNA0122', 'BNA0124'}",1/12/2021 10:46,P,
BNA0135 | BNA0136,OPSD_DE,"{'BNA0136', 'BNA0135'}",1/12/2021 10:46,P,
BNA0172a | BNA0172b,OPSD_DE,"{'BNA0172b', 'BNA0172a'}",1/12/2021 10:46,P,
BNA0177 | BNA0179,OPSD_DE,"{'BNA0179', 'BNA0177'}",1/12/2021 10:46,P,
BNA0216a | BNA0216b,OPSD_DE,"{'BNA0216b', 'BNA0216a'}",1/12/2021 10:46,P,
BNA0217 | BNA0218 | BNA0219,OPSD_DE,"{'BNA0219', 'BNA0217', 'BNA0218'}",1/12/2021 10:46,P,
BNA0228 | BNA0229,OPSD_DE,"{'BNA0229', 'BNA0228'}",1/12/2021 10:46,P,
BNA0232a | BNA0232b,OPSD_DE,"{'BNA0232a', 'BNA0232b'}",1/12/2021 10:46,P,
BNA0256a | BNA0256b,OPSD_DE,"{'BNA0256b', 'BNA0256a'}",1/12/2021 10:46,P,
BNA0261a | BNA0261c,OPSD_DE,"{'BNA0261c', 'BNA0261a'}",1/12/2021 10:46,P,
BNA0270 | BNA0271 | BNA0272,OPSD_DE,"{'BNA0270', 'BNA0272', 'BNA0271'}",1/12/2021 10:46,P,
BNA0278 | BNA0279,OPSD_DE,"{'BNA0279', 'BNA0278'}",1/12/2021 10:46,P,
BNA0286 | BNA1868,OPSD_DE,"{'BNA0286', 'BNA1868'}",1/12/2021 10:46,P,
BNA0287a | BNA0287b,OPSD_DE,"{'BNA0287b', 'BNA0287a'}",1/12/2021 10:46,P,
BNA0289b | BNA0290,OPSD_DE,"{'BNA0290', 'BNA0289b'}",1/12/2021 10:46,P,
BNA0313 | BNA0314,OPSD_DE,"{'BNA0314', 'BNA0313'}",1/12/2021 10:46,P,
BNA0331 | BNA0332,OPSD_DE,"{'BNA0331', 'BNA0332'}",1/12/2021 10:46,P,
BNA0378 | BNA0379,OPSD_DE,"{'BNA0379', 'BNA0378'}",1/12/2021 10:46,P,
BNA0392a | BNA0392b,OPSD_DE,"{'BNA0392a', 'BNA0392b'}",1/12/2021 10:46,P,
BNA0395 | BNA0396 | BNA0397,OPSD_DE,"{'BNA0395', 'BNA0396', 'BNA0397'}",1/12/2021 10:46,P,
BNA0403 | BNA0404,OPSD_DE,"{'BNA0404', 'BNA0403'}",1/12/2021 10:46,P,
BNA0410 | BNA0411 | BNA1465d,OPSD_DE,"{'BNA0411', 'BNA1465d', 'BNA0410'}",1/12/2021 10:46,P,
BNA0420 | BNA0421,OPSD_DE,"{'BNA0420', 'BNA0421'}",1/12/2021 10:46,P,
BNA0427 | BNA0428 | BNA0429 | BNA0430,OPSD_DE,"{'BNA0430', 'BNA0427', 'BNA0429', 'BNA0428'}",1/12/2021 10:46,P,
BNA0432 | BNA0433 | BNA0434,OPSD_DE,"{'BNA0432', 'BNA0434', 'BNA0433'}",1/12/2021 10:46,P,
BNA0465 | BNA0467,OPSD_DE,"{'BNA0465', 'BNA0467'}",1/12/2021 10:46,P,
